MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,TP_PPM,DEPTH,R,TYPE
103,NARROWS P (LOWER),1,2004-07-13,CW,0.007,5,1,C
103,NARROWS P (LOWER),1,2004-08-17,CW,0.007,5,1,C
103,NARROWS P (LOWER),1,2004-09-24,CW,0.006,7,1,C
103,NARROWS P (LOWER),1,2004-11-04,CW,0.008,10,1,C
103,NARROWS P (LOWER),1,2006-05-31,CW,0.01,7,1,C
103,NARROWS P (LOWER),1,2006-05-31,CW,0.011,7,2,C
103,NARROWS P (LOWER),1,2006-07-26,CW,0.006,5,1,C
103,NARROWS P (LOWER),1,2006-08-21,CW,0.008,6,1,C
103,NARROWS P (LOWER),1,2006-09-28,CW,0.006,7,1,C
103,NARROWS P (LOWER),1,2006-11-01,CW,0.009,10,1,C
103,NARROWS P (LOWER),1,2009-05-22,CW,0.006,4,1,C
103,NARROWS P (LOWER),1,2009-06-30,CW,0.011,4,1,C
103,NARROWS P (LOWER),1,2009-07-21,CW,0.008,5,1,C
103,NARROWS P (LOWER),1,2009-08-14,CW,0.004,6,1,C
103,NARROWS P (LOWER),1,2009-09-28,CW,99.999,999.9,1,C
103,NARROWS P (LOWER),1,2009-10-20,CW,0.004,10,1,C
103,NARROWS P (LOWER),1,2010-08-23,cw,0.006,6,1,C
103,NARROWS P (LOWER),1,2012-06-11,cw,0.011,8,1,C
103,NARROWS P (LOWER),1,2012-06-27,cw,0.01,5,1,C
103,NARROWS P (LOWER),1,2012-07-18,cw,0.009,6,1,C
103,NARROWS P (LOWER),1,2012-08-13,cw,0.009,6,1,C
103,NARROWS P (LOWER),1,2012-09-18,cw,0.021,7,1,C
103,NARROWS P (LOWER),1,2015-05-29,CW,0.009,8,1,C
103,NARROWS P (LOWER),1,2015-06-18,CW,0.007,8,1,C
103,NARROWS P (LOWER),1,2015-07-13,CW,0.013,8,1,C
103,NARROWS P (LOWER),1,2015-08-04,CW,0.007,8,1,C
103,NARROWS P (LOWER),1,2015-08-04,CW,0.007,8,2,C
103,NARROWS P (LOWER),1,2015-09-02,CW,0.006,8,1,C
103,NARROWS P (LOWER),1,2015-09-02,CW,0.008,8,2,C
103,NARROWS P (LOWER),1,2015-10-14,CW,0.006,10,1,C
103,NARROWS P (LOWER),1,2015-10-14,CW,0.026,30,1,G
103,NARROWS P (LOWER),1,2018-05-21,CW,0.01,9,1,C
103,NARROWS P (LOWER),1,2018-06-25,CW,0.009,7,1,C
103,NARROWS P (LOWER),1,2018-07-18,CW,0.007,8,1,C
