MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TP_PPM,TYPE,R,UNIT,QUAL
5238,SAND P (TACOMA LKS),1,6/22/2021,CW,,,,,,
5238,SAND P (TACOMA LKS),1,7/28/2021,CW,,,,,,
5238,SAND P (TACOMA LKS),1,8/24/2021,CW,,,,,,
5238,SAND P (TACOMA LKS),1,10/7/2021,CW,,,,,,
5300,SHED P,1,9/7/2021,CW,2.5,0.01,C,1,,
5300,SHED P,1,9/7/2021,CW,2.5,0.011,C,2,,
5307,TORSEY (GREELEY) P,1,5/26/2021,CW,8,0.013,C,1,,
5307,TORSEY (GREELEY) P,1,5/26/2021,CW,999.9,99.999,C,1,,
5307,TORSEY (GREELEY) P,1,6/29/2021,CW,6,0.012,C,1,,
5307,TORSEY (GREELEY) P,1,7/30/2021,CW,6,0.007,C,1,,
5307,TORSEY (GREELEY) P,1,8/23/2021,CW,11.2,0.11,G,1,,
5307,TORSEY (GREELEY) P,1,8/23/2021,CW,6,0.007,C,1,,
5307,TORSEY (GREELEY) P,1,9/23/2021,CW,7,0.008,C,1,,
5307,TORSEY (GREELEY) P,1,10/21/2021,CW,9,0.009,C,2,,
5307,TORSEY (GREELEY) P,1,10/21/2021,CW,9,0.01,C,1,,
3832,WILSON P,1,5/25/2021,CW,9,0.009,C,1,,
3832,WILSON P,1,5/25/2021,CW,9,0.009,C,2,,
3832,WILSON P,1,5/25/2021,CW,12,0.015,G,1,,
3832,WILSON P,1,6/10/2021,CW,6,0.01,C,1,,
3832,WILSON P,1,6/10/2021,CW,6,0.007,C,2,,
3832,WILSON P,1,6/10/2021,CW,11.4,0.012,G,1,,
