"midas","lake","basin","date","agency","tp_ppm","depth","r","type","year","month","sampleid"
"98","narrows upper",1,2003-06-23,"cw",0.015,15,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-06-23,"cw",0.017,5,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-06-23,"cw",0.021,18,1,"g",2003,6,"98_1_2003-06-23"
"98","narrows upper",1,2003-07-28,"cw",0.011,3,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.012,9,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.012,11,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.014,15,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.016,5,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.017,1,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.022,7,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-07-28,"cw",0.024,17,1,"g",2003,7,"98_1_2003-07-28"
"98","narrows upper",1,2003-08-27,"cw",0.005,3,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.006,5,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.007,1,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.011,11,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.013,9,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.017,7,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.018,13,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-08-27,"cw",0.038,16,1,"g",2003,8,"98_1_2003-08-27"
"98","narrows upper",1,2003-09-29,"cw",0.014,9,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.015,5,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.016,7,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.016,11,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.024,3,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.039,1,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.043,15,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-09-29,"cw",0.13,18,1,"g",2003,9,"98_1_2003-09-29"
"98","narrows upper",1,2003-10-24,"cw",0.008,9,1,"g",2003,10,"98_1_2003-10-24"
"98","narrows upper",1,2003-10-24,"cw",0.009,7,1,"g",2003,10,"98_1_2003-10-24"
"98","narrows upper",1,2003-10-24,"cw",0.01,5,1,"g",2003,10,"98_1_2003-10-24"
