"sampID","midas","lake","station","date","time","agency","project","db","secchi","rep","seccbot","scope","surveyors","qa_cert","windvel","winddir","cloudcvr","lat","long","gloeo","comments","dups"
"5254_3_2021-07-06_cw",5254,"pleasant",3,2021-07-06,NA,"cw",3,"cwd21",2.84,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",1,6,"1","440808","695317.3",NA,NA,"5254_3_2021-07-06_2.84_de-0023_1"
"5312_2_2021-07-07_cw",5312,"maranacook",2,2021-07-07,NA,"cw",3,"cwd21",3.91,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",4,1,"2","442251.2","695729.2",NA,NA,"5312_2_2021-07-07_3.91_de-0023_1"
"5312_2_2021-07-07_cw",5312,"maranacook",2,2021-07-07,NA,"cw",3,"cwd21",3.75,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",4,1,"2","442251.2","695729.2",NA,NA,"5312_2_2021-07-07_3.75_bu-0773_1"
"3830_1_2021-07-07_cw",3830,"dexter",1,2021-07-07,NA,"cw",3,"cwd21",6.5,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",9,1,"1","441857.9","700153.1",NA,NA,"3830_1_2021-07-07_6.5_de-0023_1"
"3830_1_2021-07-07_cw",3830,"dexter",1,2021-07-07,NA,"cw",3,"cwd21",6.58,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",9,1,"1","441857.9","700153.1",NA,NA,"3830_1_2021-07-07_6.58_bu-0773_1"
"5312_2_2021-07-07_ei",5312,"maranacook",2,2021-07-07,NA,"ei",3,"cwd21",3.8,1,"n",4,"dodge, edward,,NA,NA","do-0532",7,6,"1","0","0",NA,NA,"5312_2_2021-07-07_3.8_do-0532_1"
"5312_1_2021-07-07_cw",5312,"maranacook",1,2021-07-07,NA,"cw",3,"cwd21",6.84,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",2,1,"2","441913.6","695803.2",NA,NA,"5312_1_2021-07-07_6.84_bu-0773_1"
"3832_1_2021-07-07_cw",3832,"wilson",1,2021-07-07,NA,"cw",3,"cwd21",5.94,1,"n",4,"burton, ryan,dennis,wendy,NA,NA","bu-0773",10,8,"0","441702.6","700246.4",NA,NA,"3832_1_2021-07-07_5.94_bu-0773_1"
"3832_1_2021-07-07_cw",3832,"wilson",1,2021-07-07,NA,"cw",3,"cwd21",5.88,1,"n",4,"burton, ryan,dennis,wendy,NA,NA","de-0023",10,8,"0","441702.6","700246.4",NA,NA,"3832_1_2021-07-07_5.88_de-0023_1"
"5312_1_2021-07-07_cw",5312,"maranacook",1,2021-07-07,NA,"cw",3,"cwd21",6.78,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",2,1,"2","441913.6","695803.2",NA,NA,"5312_1_2021-07-07_6.78_de-0023_1"
"5310_1_2021-07-08_cw",5310,"carlton",1,2021-07-08,NA,"cw",3,"cwd21",6.04,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",5,1,"2","442051.4","695428.8",NA,NA,"5310_1_2021-07-08_6.04_bu-0773_1"
"5310_1_2021-07-08_cw",5310,"carlton",1,2021-07-08,NA,"cw",3,"cwd21",6.04,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",5,1,"2","442051.4","695428.8",NA,NA,"5310_1_2021-07-08_6.04_de-0023_1"
