"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TEMP","OXYGEN","OXYMETH","METER","CALIB"
"Cobbossee",5236,1,2022-08-31,"CW",3,0.1,25,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,1,24.6,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,2,24.4,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,3,24.3,8.3,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,4,24.2,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,5,24.2,8.2,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,6,24.2,8.2,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,7,23.2,6.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,8,20,3.1,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,9,19,1,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,10,16.8,0.1,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,11,15.5,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,12,14.7,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,13,14.5,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,14,13.7,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,15,12.4,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,17,11.2,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,18,10.9,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,19,10.7,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,21,10.5,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,23,10.3,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,24,10.1,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,25,10.1,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,27,9.9,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,0.1,25,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,1,24.6,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,2,24.4,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,3,24.3,8.3,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,4,24.2,8.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,5,24.2,8.2,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,6,24.2,8.2,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,7,23.2,6.4,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,8,20,3.1,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,9,19,1,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,10,16.8,0.1,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,11,15.5,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,12,14.7,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,13,14.5,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,14,13.7,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,15,12.4,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,17,11.2,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,18,10.9,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,19,10.7,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,21,10.5,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,23,10.3,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,24,10.1,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,25,10.1,0,"M","other","Y"
"Cobbossee",5236,1,2022-08-31,"CW",3,27,9.9,0,"M","other","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,0,27.6,7.6,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,1,27.1,7.5,"M","YSI52 1","Y"
"Cochnewagon",3814,1,2022-07-07,"CW",3,2,26.5,7.6,"M","YSI52 1","Y"
