"LAKNAM","MIDAS","STATION","SAMPDATE","METER","DEPTH","QC_TEMP","QC_OXYGEN"
"Maranacook",5312,1,2022-07-06,NA,NA,NA,NA
"Maranacook",5312,1,2022-07-06,NA,NA,NA,NA
"Maranacook",5312,1,2022-08-06,NA,NA,NA,NA
"Maranacook",5312,1,2022-08-06,NA,NA,NA,NA
"Maranacook",5312,1,2022-08-28,NA,NA,NA,NA
"Maranacook",5312,1,2022-08-28,NA,NA,NA,NA
"Maranacook",5312,2,2023-03-22,NA,NA,NA,NA
"Maranacook",5312,2,2023-03-22,NA,NA,NA,NA
"Maranacook",5312,2,2022-05-29,NA,NA,NA,NA
"Maranacook",5312,2,2022-05-29,NA,NA,NA,NA
"Maranacook",5312,2,2022-06-06,NA,NA,NA,NA
"Maranacook",5312,2,2022-06-06,NA,NA,NA,NA
"Maranacook",5312,2,2022-08-06,NA,NA,NA,NA
"Maranacook",5312,2,2022-08-06,NA,NA,NA,NA
"Maranacook",5312,2,2022-06-26,NA,NA,NA,NA
"Maranacook",5312,2,2022-06-26,NA,NA,NA,NA
"Maranacook",5312,2,2022-07-10,NA,NA,NA,NA
"Maranacook",5312,2,2022-07-10,NA,NA,NA,NA
"Maranacook",5312,2,2022-09-04,NA,NA,NA,NA
"Maranacook",5312,2,2022-09-04,NA,NA,NA,NA
"Maranacook",5312,2,2022-09-24,NA,NA,NA,NA
"Maranacook",5312,2,2022-09-24,NA,NA,NA,NA
"Maranacook",5312,2,2022-08-06,"YSI52 1",10,10.4,0.3
"Maranacook",5312,2,2022-08-06,"YSI52 1",3,26.9,7.6
"Maranacook",5312,2,2022-08-06,"YSI52 1",10,10.4,0.3
"Maranacook",5312,2,2022-08-06,"YSI52 1",3,26.9,7.6
"Pleasant",5254,1,2022-07-20,"YSI52 1",2,25.6,7.8
"Upper Pleasant",5254,1,2022-07-20,"YSI52 1",2,25.6,7.8
"Pleasant",5254,3,2022-07-10,"YSI52 1",2,24.4,8.5
"Upper Pleasant",5254,3,2022-07-10,"YSI52 1",2,24.4,8.5
"Pleasant",5254,3,2022-07-20,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-07-20,NA,NA,NA,NA
"Pleasant",5254,3,2022-07-23,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-07-23,NA,NA,NA,NA
"Pleasant",5254,3,2022-07-31,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-07-31,NA,NA,NA,NA
"Pleasant",5254,3,2022-08-07,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-08-07,NA,NA,NA,NA
"Pleasant",5254,3,2022-08-20,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-08-20,NA,NA,NA,NA
"Pleasant",5254,3,2022-08-29,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-08-29,NA,NA,NA,NA
"Pleasant",5254,3,2022-09-04,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-09-04,NA,NA,NA,NA
"Pleasant",5254,3,2022-09-10,NA,NA,NA,NA
"Upper Pleasant",5254,3,2022-09-10,NA,NA,NA,NA
"Pleasant",5254,3,2022-10-12,"YSI52 1",1,13.3,9.6
"Upper Pleasant",5254,3,2022-10-12,"YSI52 1",1,13.3,9.6
"Sand",5238,1,2022-07-13,NA,NA,NA,NA
"Sand",5238,1,2022-07-29,NA,NA,NA,NA
"Sand",5238,1,2022-08-15,NA,NA,NA,NA
"Sand",5238,1,2022-08-30,NA,NA,NA,NA
"Sand",5238,1,2022-09-12,NA,NA,NA,NA
"Torsey",5307,1,2022-08-06,"YSI52 1",11,11.5,0.3
"Torsey",5307,1,2022-08-06,"YSI52 1",2,7.5,7.4
"Lower Narrows",103,1,2022-07-07,"YSI52 1",12,6.1,2.8
"Lower Narrows",103,1,2022-07-07,"YSI52 1",3,23.6,8
"Wilson",3832,1,2022-07-22,"YSI52 1",11,10.9,0.3
"Wilson",3832,1,2022-07-22,"YSI52 1",2,26.3,7.9
"Wilson",3832,1,2022-09-06,"YSI52 1",10,11.7,0
"Wilson",3832,1,2022-09-06,"YSI52 1",2,22.7,8.4
"Wilson",3832,1,2022-10-06,"YSI52 1",11,11.7,0.2
"Wilson",3832,1,2022-10-06,"YSI52 1",5,15.8,8.6
"Wilson",3832,1,2022-11-07,"YSI52 1",NA,NA,NA
"Woodbury",5240,1,2022-06-15,NA,NA,NA,NA
"Woodbury",5240,1,2022-06-21,NA,NA,NA,NA
"Woodbury",5240,1,2022-06-28,NA,NA,NA,NA
"Woodbury",5240,1,2022-07-08,NA,NA,NA,NA
"Woodbury",5240,1,2022-07-15,NA,NA,NA,NA
"Woodbury",5240,1,2022-07-27,NA,NA,NA,NA
"Woodbury",5240,1,2022-08-03,NA,NA,NA,NA
"Woodbury",5240,1,2022-08-10,NA,NA,NA,NA
"Woodbury",5240,1,2022-08-19,NA,NA,NA,NA
"Woodbury",5240,1,2022-08-26,NA,NA,NA,NA
"Woodbury",5240,1,2022-09-02,NA,NA,NA,NA
"Woodbury",5240,1,2022-09-09,NA,NA,NA,NA
"Woodbury",5240,1,2022-09-16,NA,NA,NA,NA
"Woodbury",5240,1,2022-09-25,NA,NA,NA,NA
"Woodbury",5240,1,2022-10-12,NA,NA,NA,NA
"Woodbury",5240,1,2022-10-30,NA,NA,NA,NA
"Woodbury",5240,1,2022-10-22,NA,NA,NA,NA
"Woodbury",5240,1,2022-11-05,NA,NA,NA,NA
"Pleasant",5254,1,2022-07-13,NA,NA,NA,NA
"Upper Pleasant",5254,1,2022-07-13,NA,NA,NA,NA
"Pleasant",5254,1,2022-10-12,NA,NA,NA,NA
"Upper Pleasant",5254,1,2022-10-12,NA,NA,NA,NA
"Pleasant",5254,1,2022-08-10,NA,NA,NA,NA
"Upper Pleasant",5254,1,2022-08-10,NA,NA,NA,NA
"Pleasant",5254,1,2022-08-22,NA,NA,NA,NA
"Upper Pleasant",5254,1,2022-08-22,NA,NA,NA,NA
"Pleasant",5254,1,2022-10-02,NA,NA,NA,NA
"Upper Pleasant",5254,1,2022-10-02,NA,NA,NA,NA
"Pleasant",5254,1,2022-09-08,NA,2,22.1,7.8
"Upper Pleasant",5254,1,2022-09-08,NA,2,22.1,7.8
"Pleasant",5254,1,2022-10-12,"YSI52 1",4,13.9,8.4
"Upper Pleasant",5254,1,2022-10-12,"YSI52 1",4,13.9,8.4
"Pleasant",5254,1,2022-06-28,"YSI52 1",3,22.2,8.5
"Upper Pleasant",5254,1,2022-06-28,"YSI52 1",3,22.2,8.5
"Pleasant",5254,3,2022-09-10,"YSI52 1",2,21.6,9
"Upper Pleasant",5254,3,2022-09-10,"YSI52 1",2,21.6,9
